BOARD SIZE,POP SIZE,GENERATIONS,CR,STEPSIZE,STEPS,OBSTACLES,ELITISM,ELITISM RATE,BEST FITNESS,WORST FITNESS,AVG FITNESS,BF / STEP,WF / STEP,AF / STEP,SOLVED
16,16,100,0.3,0.3,80,False,False,0.1,-2102.85,-2142.3,-2124.909375,-26.285625000000003,-26.778749999999995,-26.561367187500004,False
16,16,100,0.9,0.3,80,False,False,0.1,-2110.35,-2146.8,-2129.30625,-26.379375,-26.835,-26.616328125000006,False
16,16,100,0.3,0.5,80,False,False,0.1,-2103.75,-2145.3,-2125.284375,-26.296875,-26.816250000000004,-26.566054687500003,False
16,16,100,0.9,0.5,80,False,False,0.1,-2110.95,-2145.45,-2128.753125,-26.386875000000003,-26.818125,-26.6094140625,False
16,16,200,0.3,0.3,80,False,False,0.1,-2099.85,-2134.95,-2117.325,-26.248124999999998,-26.686874999999997,-26.4665625,False
16,16,200,0.9,0.3,80,False,False,0.1,-2103.9,-2138.25,-2121.8625,-26.298749999999995,-26.728125,-26.523281249999997,False
16,16,200,0.3,0.5,80,False,False,0.1,-2097.6,-2137.5,-2116.875,-26.22,-26.718749999999993,-26.460937500000007,False
16,16,200,0.9,0.5,80,False,False,0.1,-2106.45,-2139.0,-2124.525,-26.33062499999999,-26.7375,-26.556562500000002,False
16,32,100,0.3,0.3,80,False,False,0.1,-2101.65,-2147.25,-2124.984375,-26.270625000000003,-26.840625000000006,-26.5623046875,False
16,32,100,0.9,0.3,80,False,False,0.1,-2108.85,-2149.8,-2129.3671875,-26.360625000000006,-26.872500000000002,-26.617089843749994,False
16,32,100,0.3,0.5,80,False,False,0.1,-2103.3,-2148.15,-2124.384375,-26.291249999999998,-26.851875,-26.554804687499995,False
16,32,100,0.9,0.5,80,False,False,0.1,-2100.6,-2150.1,-2128.2328125,-26.2575,-26.876250000000006,-26.602910156249997,False
16,32,200,0.3,0.3,80,False,False,0.1,-2094.75,-2139.0,-2117.9203125,-26.184375000000006,-26.7375,-26.474003906250005,False
16,32,200,0.9,0.3,80,False,False,0.1,-2103.6,-2142.45,-2124.5859375,-26.294999999999998,-26.780624999999997,-26.55732421875,False
16,32,200,0.3,0.5,80,False,False,0.1,-2094.0,-2137.65,-2116.2890625,-26.175000000000004,-26.720625000000002,-26.45361328125,False
16,32,200,0.9,0.5,80,False,False,0.1,-2097.3,-2143.2,-2122.8890625,-26.216250000000002,-26.79,-26.53611328125,False
